,cms_contentId,tot,fav,skipped
5125,143014215.0,2.0,2.0,0.0
5126,186575926.0,1.0,1.0,0.0
5127,42123380.0,5.0,2.0,3.0
5128,292880695.0,2.0,1.0,1.0
5129,146291520.0,35.0,15.0,13.0
5130,21637753.0,5.0,5.0,0.0
5131,348432850.0,3.0,1.0,1.0
5132,146291512.0,37.0,12.0,15.0
5133,103534141.0,2.0,0.0,0.0
5134,292880700.0,1.0,0.0,1.0
5135,194444020.0,11.0,4.0,1.0
5136,29674106.0,1.0,1.0,0.0
5137,2592578.0,15.0,8.0,0.0
5138,80840134.0,1.0,0.0,0.0
5139,57098524.0,247.0,127.0,65.0
5140,278588470.0,141.0,65.0,43.0
5141,275625419.0,13.0,5.0,6.0
5142,106234859.0,70.0,39.0,25.0
5143,156994441.0,5.0,5.0,0.0
5144,229822440.0,5.0,4.0,1.0
5145,124266626.0,22.0,18.0,3.0
5146,126061011.0,23.0,13.0,7.0
5147,45275656.0,309.0,190.0,78.0
5148,538475001.0,6.0,4.0,0.0
5149,255048344.0,72.0,34.0,26.0
5150,423795161.0,6.0,4.0,2.0
5151,388496181.0,1.0,1.0,0.0
5152,117987090.0,53.0,34.0,12.0
5153,56931844.0,111.0,47.0,44.0
5154,320819993.0,9.0,6.0,1.0
5155,233706296.0,10.0,8.0,0.0
5156,56642935.0,1.0,0.0,0.0
5157,2178843.0,58.0,17.0,29.0
5158,57803669.0,9.0,5.0,3.0
5159,177633336.0,2.0,0.0,0.0
5160,141848037.0,2.0,2.0,0.0
5161,15625799.0,28.0,11.0,12.0
5162,15538743.0,31.0,10.0,20.0
5163,29458142.0,2.0,0.0,0.0
5164,124217614.0,4.0,3.0,0.0
5165,38582573.0,42.0,27.0,5.0
5166,129561837.0,3.0,3.0,0.0
5167,182409898.0,59.0,44.0,7.0
5168,42839873.0,394.0,243.0,59.0
5169,15682533.0,1.0,1.0,0.0
5170,601052490.0,14.0,6.0,6.0
5171,177675567.0,1.0,0.0,0.0
5172,324380197.0,1.0,0.0,0.0
5173,71678746.0,2.0,2.0,0.0
5174,30651006.0,2.0,1.0,0.0
5175,128810435.0,18.0,1.0,2.0
5176,249320512.0,720.0,183.0,426.0
5177,57694237.0,128.0,41.0,74.0
5178,292880908.0,44.0,24.0,8.0
5179,77267605.0,1.0,1.0,0.0
5180,348855258.0,64.0,38.0,24.0
5181,57098527.0,1085.0,348.0,633.0
5182,54852552.0,1.0,1.0,0.0
5183,56793660.0,1200.0,543.0,465.0
5184,396658084.0,2.0,2.0,0.0
5185,54783861.0,56.0,19.0,9.0
5186,146291514.0,35.0,11.0,19.0
5187,256446381.0,13.0,6.0,1.0
5188,2178838.0,59.0,28.0,18.0
5189,140767456.0,1.0,1.0,0.0
5190,72368077.0,2.0,1.0,0.0
5191,41286154.0,4.0,3.0,0.0
5192,243247836.0,11.0,5.0,5.0
5193,75999820.0,20.0,15.0,2.0
5194,255048349.0,22.0,9.0,5.0
5195,466437198.0,3.0,2.0,1.0
5196,54783854.0,173.0,60.0,41.0
5197,526922728.0,1.0,1.0,0.0
5198,492138126.0,2.0,2.0,0.0
5199,106800346.0,1015.0,428.0,331.0
5200,41273715.0,3.0,2.0,1.0
5201,367900504.0,1.0,1.0,0.0
5202,56510816.0,9.0,6.0,1.0
5203,56509597.0,5.0,3.0,1.0
5204,108853461.0,24457.0,12346.0,6649.0
5205,188930527.0,3.0,0.0,0.0
5206,60271442.0,2.0,1.0,0.0
5207,124662963.0,164.0,88.0,31.0
5208,296662173.0,1.0,1.0,0.0
5209,538474996.0,11.0,8.0,1.0
5210,167604724.0,432.0,26.0,373.0
5211,146291522.0,53.0,27.0,15.0
5212,263845293.0,1.0,1.0,0.0
5213,105463267.0,422.0,161.0,208.0
5214,530026255.0,19.0,10.0,7.0
5215,367900531.0,1.0,1.0,0.0
5216,9469598.0,26.0,14.0,7.0
5217,203303925.0,2.0,2.0,0.0
5218,118136733.0,2.0,2.0,0.0
5219,41183804.0,70.0,30.0,14.0
5220,362221930.0,2.0,2.0,0.0
5221,17598443.0,649.0,350.0,227.0
5222,177609639.0,9.0,8.0,1.0
5223,148005965.0,4.0,4.0,0.0
5224,233712949.0,6.0,3.0,0.0
5225,283134272.0,6.0,4.0,1.0
5226,369606266.0,2.0,0.0,0.0
5227,340841903.0,13.0,12.0,0.0
5228,56911658.0,11417.0,4772.0,4184.0
5229,32244005.0,4.0,4.0,0.0
5230,142513132.0,2.0,2.0,0.0
5231,38854582.0,4.0,1.0,1.0
5232,307057882.0,1.0,0.0,1.0
5233,321035238.0,2.0,2.0,0.0
5234,177543612.0,3.0,2.0,0.0
5235,57800809.0,26.0,7.0,17.0
5236,118136736.0,10.0,9.0,1.0
5237,11699667.0,1.0,0.0,0.0
5238,243308765.0,3.0,3.0,0.0
5239,31254538.0,4.0,4.0,0.0
5240,464401596.0,5.0,5.0,0.0
5241,301174708.0,13.0,8.0,4.0
